298	299	319
298	319	318
318	319	339
318	339	338
338	339	359
338	359	358
358	359	379
358	379	378
378	379	399
378	399	398
398	399	419
398	419	418
19	0	20
19	20	39
39	20	40
39	40	59
59	40	60
59	60	79
79	60	80
79	80	99
99	80	100
99	100	119
119	100	120
119	120	139
139	120	140
139	140	159
159	140	160
159	160	179
179	160	180
179	180	199
199	180	200
199	200	219
219	200	220
219	220	239
239	220	240
239	240	259
259	240	260
259	260	279
279	260	280
279	280	299
299	280	300
299	300	319
319	300	320
319	320	339
339	320	340
339	340	359
359	340	360
359	360	379
379	360	380
379	380	399
399	380	400
399	400	419
